WGS84 UTM 32N
464271 5247333
16.333274024771526 34.3647093931213 557.837
-24.421092375181615 -50.05538208782673 555.812
-72.20003852579976 -150.93086500745267 557.2462
32.8149193469435 68.18242493178695 557.4843
64.48798293696018 134.7960994495079 556.0632
-56.34436033165548 -117.38156341202557 556.2796
-48.250568757997826 -101.15896221995354 556.3498
-80.76151381724048 -167.66751267109066 557.7071
-39.89544870739337 -83.6888623740524 557.0816
-8.372517661598977 -15.767483221367002 556.9361
56.82561827613972 117.83476029150188 556.5329
8.107709226256702 17.82029028981924 557.6906
80.94462726602796 168.50656596012414 556.8577
40.8408716324484 84.80003655515611 556.6797
72.81506792345317 151.58265605848283 556.4398
24.67959482932929 51.12702009733766 557.9486
-64.38075210584793 -134.3277985183522 556.1946
49.049898725992534 101.2825250448659 555.6025
-0.33980857249116525 0.77580392267555 557.0292
-32.14112289034529 -67.04910548496991 555.6814
-16.246565749752335 -32.75999148096889 556.9019
